"ID","Legend_Label","Primary_College","n_counties","population","county_names","cluster_id","population_source","sud_count","sud_rate_per_100k","incidence_rank01","synthetic_log_risk","synthetic_expected_count","incidence_source"
16,"16) Craven CC","Craven CC",1,106836,"Craven",16,"NC OSBM county-population-totals API, 2024 Total Population Estimate",4,3.74405631060691,0.344827586206897,-9.68079765846857,6.67422150415128,"synthetic_poisson_sar_placeholder"
17,"17) Davidson-Davie CC","Davidson-Davie CC",2,223171,"Davidson; Davie",17,"NC OSBM county-population-totals API, 2024 Total Population Estimate",3,1.34426067903088,0.0689655172413793,-10.041307806807,9.72194562794359,"synthetic_poisson_sar_placeholder"
18,"18) Durham Tech","Durham Tech",2,496864,"Durham; Orange",18,"NC OSBM county-population-totals API, 2024 Total Population Estimate",16,3.22019707606105,0.275862068965517,-10.4778303821597,13.9885794567899,"synthetic_poisson_sar_placeholder"
19,"19) Edgecombe CC","Edgecombe CC",1,48695,"Edgecombe",19,"NC OSBM county-population-totals API, 2024 Total Population Estimate",1,2.05359893212856,0.137931034482759,-10.3949561353096,1.48940319445551,"synthetic_poisson_sar_placeholder"
20,"20) Fayetteville Tech","Fayetteville Tech",1,341758,"Cumberland",20,"NC OSBM county-population-totals API, 2024 Total Population Estimate",16,4.68167533751953,0.482758620689655,-10.0919478663205,14.1527690414077,"synthetic_poisson_sar_placeholder"
21,"21) Forsyth Tech","Forsyth Tech",2,444629,"Forsyth; Stokes",21,"NC OSBM county-population-totals API, 2024 Total Population Estimate",32,7.19701144099913,0.827586206896552,-9.66902220775455,28.1057251562105,"synthetic_poisson_sar_placeholder"
22,"22) Gaston College","Gaston College",2,341007,"Gaston; Lincoln",22,"NC OSBM county-population-totals API, 2024 Total Population Estimate",11,3.22574023407144,0.293103448275862,-9.97719092336836,15.8388749906403,"synthetic_poisson_sar_placeholder"
23,"23) Guilford Tech","Guilford Tech",1,555569,"Guilford",23,"NC OSBM county-population-totals API, 2024 Total Population Estimate",17,3.05992594979202,0.224137931034483,-10.3736719996287,17.3583922591032,"synthetic_poisson_sar_placeholder"
24,"24) Halifax CC","Halifax CC",2,62850,"Halifax; Northampton",24,"NC OSBM county-population-totals API, 2024 Total Population Estimate",1,1.59108989657916,0.0862068965517241,-9.85241318672111,3.30717062343672,"synthetic_poisson_sar_placeholder"
25,"25) Haywood CC","Haywood CC",1,63924,"Haywood",25,"NC OSBM county-population-totals API, 2024 Total Population Estimate",5,7.82178837369376,0.862068965517241,-10.2114376343149,2.34905359707099,"synthetic_poisson_sar_placeholder"
26,"26) Isothermal CC","Isothermal CC",2,84674,"Polk; Rutherford",26,"NC OSBM county-population-totals API, 2024 Total Population Estimate",8,9.44800056688003,0.931034482758621,-9.65488377380012,5.42859359501451,"synthetic_poisson_sar_placeholder"
27,"27) James Sprunt CC","James Sprunt CC",1,49419,"Duplin",27,"NC OSBM county-population-totals API, 2024 Total Population Estimate",3,6.07053967097675,0.672413793103448,-9.83477520698533,2.64670385534403,"synthetic_poisson_sar_placeholder"
28,"28) Johnston CC","Johnston CC",1,247249,"Johnston",28,"NC OSBM county-population-totals API, 2024 Total Population Estimate",14,5.66230803764626,0.637931034482759,-9.57209456442307,17.2197441396458,"synthetic_poisson_sar_placeholder"
29,"29) Lenoir CC","Lenoir CC",3,84213,"Greene; Jones; Lenoir",29,"NC OSBM county-population-totals API, 2024 Total Population Estimate",6,7.12479070927292,0.810344827586207,-9.72786336729143,5.01905272310477,"synthetic_poisson_sar_placeholder"
30,"30) Martin CC","Martin CC",2,38163,"Bertie; Martin",30,"NC OSBM county-population-totals API, 2024 Total Population Estimate",1,2.6203390718759,0.189655172413793,-10.4642778295279,1.08909155100939,"synthetic_poisson_sar_placeholder"
31,"31) Mayland CC","Mayland CC",3,51067,"Avery; Mitchell; Yancey",31,"NC OSBM county-population-totals API, 2024 Total Population Estimate",0,0,0.0258620689655172,-10.0598558623328,2.18373761864294,"synthetic_poisson_sar_placeholder"
32,"32) McDowell Tech","McDowell Tech",1,44279,"McDowell",32,"NC OSBM county-population-totals API, 2024 Total Population Estimate",5,11.292034598794,0.982758620689655,-10.5353166872498,1.17697679859316,"synthetic_poisson_sar_placeholder"
33,"33) Mitchell CC","Mitchell CC",1,207823,"Iredell",33,"NC OSBM county-population-totals API, 2024 Total Population Estimate",11,5.29296564865294,0.603448275862069,-9.79717909327071,11.5566721049135,"synthetic_poisson_sar_placeholder"
34,"34) Montgomery CC","Montgomery CC",1,26152,"Montgomery",34,"NC OSBM county-population-totals API, 2024 Total Population Estimate",1,3.82379932701132,0.362068965517241,-9.61671217718519,1.74188658692969,"synthetic_poisson_sar_placeholder"
35,"35) Nash CC","Nash CC",1,99728,"Nash",35,"NC OSBM county-population-totals API, 2024 Total Population Estimate",2,2.00545483715707,0.120689655172414,-10.5020371801479,2.74056630280575,"synthetic_poisson_sar_placeholder"
36,"36) Pamlico CC","Pamlico CC",1,12990,"Pamlico",36,"NC OSBM county-population-totals API, 2024 Total Population Estimate",0,0,0.0258620689655172,-9.76270434305168,0.74768819958459,"synthetic_poisson_sar_placeholder"
37,"37) Piedmont CC","Piedmont CC",2,61408,"Caswell; Person",37,"NC OSBM county-population-totals API, 2024 Total Population Estimate",3,4.88535695674831,0.53448275862069,-9.88721485615513,3.12077242299158,"synthetic_poisson_sar_placeholder"
38,"38) Pitt CC","Pitt CC",1,182572,"Pitt",38,"NC OSBM county-population-totals API, 2024 Total Population Estimate",13,7.12047849615494,0.793103448275862,-9.65736826277637,11.6759553858746,"synthetic_poisson_sar_placeholder"
39,"39) Randolph CC","Randolph CC",1,146650,"Randolph",39,"NC OSBM county-population-totals API, 2024 Total Population Estimate",8,5.45516535969997,0.620689655172414,-10.093008759932,6.06658178888507,"synthetic_poisson_sar_placeholder"
40,"40) Richmond CC","Richmond CC",2,75121,"Richmond; Scotland",40,"NC OSBM county-population-totals API, 2024 Total Population Estimate",6,7.98711412254896,0.879310344827586,-9.68015606561246,4.69594495235189,"synthetic_poisson_sar_placeholder"
41,"41) Roanoke-Chowan CC","Roanoke-Chowan CC",1,19168,"Hertford",41,"NC OSBM county-population-totals API, 2024 Total Population Estimate",2,10.4340567612688,0.96551724137931,-10.3058490023636,0.640919444575166,"synthetic_poisson_sar_placeholder"
42,"42) Robeson CC","Robeson CC",1,117440,"Robeson",42,"NC OSBM county-population-totals API, 2024 Total Population Estimate",3,2.55449591280654,0.172413793103448,-10.2692142554807,4.07336153430829,"synthetic_poisson_sar_placeholder"
43,"43) Rockingham CC","Rockingham CC",1,93213,"Rockingham",43,"NC OSBM county-population-totals API, 2024 Total Population Estimate",6,6.43687039361463,0.706896551724138,-10.4682451172743,2.64956998932177,"synthetic_poisson_sar_placeholder"
44,"44) Rowan-Cabarrus CC","Rowan-Cabarrus CC",2,400922,"Cabarrus; Rowan",44,"NC OSBM county-population-totals API, 2024 Total Population Estimate",14,3.49195105282324,0.327586206896552,-9.87186652309904,20.69010673577,"synthetic_poisson_sar_placeholder"
45,"45) Sampson CC","Sampson CC",1,59960,"Sampson",45,"NC OSBM county-population-totals API, 2024 Total Population Estimate",3,5.00333555703803,0.586206896551724,-10.5044648143288,1.64373014517133,"synthetic_poisson_sar_placeholder"
46,"46) Sandhills CC","Sandhills CC",2,165915,"Hoke; Moore",46,"NC OSBM county-population-totals API, 2024 Total Population Estimate",11,6.62990085284634,0.724137931034483,-9.55712641427349,11.7294699457757,"synthetic_poisson_sar_placeholder"
47,"47) South Piedmont CC","South Piedmont CC",2,288572,"Anson; Union",47,"NC OSBM county-population-totals API, 2024 Total Population Estimate",9,3.11880570533524,0.258620689655172,-10.1437738742753,11.3466894871713,"synthetic_poisson_sar_placeholder"
48,"48) Southeastern CC","Southeastern CC",1,49866,"Columbus",48,"NC OSBM county-population-totals API, 2024 Total Population Estimate",2,4.01074880680223,0.396551724137931,-10.6489621249217,1.18309343331856,"synthetic_poisson_sar_placeholder"
49,"49) Southwestern CC","Southwestern CC",3,96485,"Jackson; Macon; Swain",49,"NC OSBM county-population-totals API, 2024 Total Population Estimate",4,4.14572213297404,0.431034482758621,-10.2653453392812,3.359517947072,"synthetic_poisson_sar_placeholder"
50,"50) Stanly CC","Stanly CC",1,66665,"Stanly",50,"NC OSBM county-population-totals API, 2024 Total Population Estimate",2,3.00007500187505,0.206896551724138,-9.88294094642936,3.40244540588527,"synthetic_poisson_sar_placeholder"
51,"51) Surry CC","Surry CC",2,109315,"Surry; Yadkin",51,"NC OSBM county-population-totals API, 2024 Total Population Estimate",9,8.23308786534328,0.896551724137931,-9.88872438295483,5.54704036945481,"synthetic_poisson_sar_placeholder"
52,"52) Tri-County CC","Tri-County CC",3,50121,"Cherokee; Clay; Graham",52,"NC OSBM county-population-totals API, 2024 Total Population Estimate",1,1.99517168452345,0.103448275862069,-10.3116676538374,1.66617021282551,"synthetic_poisson_sar_placeholder"
53,"53) Vance-Granville CC","Vance-Granville CC",4,201744,"Franklin; Granville; Vance; Warren",53,"NC OSBM county-population-totals API, 2024 Total Population Estimate",9,4.46109921484654,0.448275862068966,-10.1560944722967,7.83546617919632,"synthetic_poisson_sar_placeholder"
54,"54) Wake Tech","Wake Tech",1,1235748,"Wake",54,"NC OSBM county-population-totals API, 2024 Total Population Estimate",60,4.85535885957331,0.517241379310345,-10.0176323497477,55.1223170875979,"synthetic_poisson_sar_placeholder"
55,"55) Wayne CC","Wayne CC",1,119395,"Wayne",55,"NC OSBM county-population-totals API, 2024 Total Population Estimate",14,11.7257841618158,1,-9.45644672246152,9.33476759464155,"synthetic_poisson_sar_placeholder"
56,"56) Western Piedmont CC","Western Piedmont CC",1,90088,"Burke",56,"NC OSBM county-population-totals API, 2024 Total Population Estimate",6,6.66015451558476,0.741379310344828,-10.0541240404104,3.8745061478467,"synthetic_poisson_sar_placeholder"
57,"57) Wilkes CC","Wilkes CC",3,103264,"Alleghany; Ashe; Wilkes",57,"NC OSBM county-population-totals API, 2024 Total Population Estimate",5,4.84195847536412,0.5,-9.84940367956131,5.45013519772988,"synthetic_poisson_sar_placeholder"
58,"58) Wilson CC","Wilson CC",1,80679,"Wilson",58,"NC OSBM county-population-totals API, 2024 Total Population Estimate",4,4.95791965691196,0.551724137931034,-10.1147149024206,3.26584552308447,"synthetic_poisson_sar_placeholder"
